Brand,Model,NS,Kv,maxdP,maxP,maxT,minT,inlet_size_mm,inlet_size_inch,inlet_dia,outlet_size_mm,outlet_size_inch,outlet_dia,connect_recommand,connect_possible,Fig
Danfoss,CCM 10,15,0.8,50,90,60,-40,15,0.5,16.7,15,0.5,16.7,ANSI 솔더 ODF. 사이즈: 5/8?,"DIN-EN 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN SS 버트 용접. 사이즈: 15 t=2.3 mm
ANSI 솔더 ODF. 사이즈: 5/8?",CCM
Danfoss,CCM 20,20,1.7,50,90,60,-40,20,0.75,22.3,20,0.75,22.3,ANSI 솔더 ODF. 사이즈: 7/8?,"DIN-EN 버트 용접. 사이즈: 20 t=2.3 mm
DIN-EN SS 버트 용접. 사이즈: 20 t=2.3 mm
DIN-EN 솔더 ODF. 사이즈: 22
ANSI 솔더 ODF. 사이즈: 7/8?",CCM
Danfoss,CCM 30,25,2.5,50,90,60,-40,25,1,28.5,25,1,28.5,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 버트 용접. 사이즈: 25 t=2.6 mm
DIN-EN SS 버트 용접. 사이즈: 25 t=2.6 mm
ANSI 솔더 ODF. 사이즈: 1 1/8?",CCM
Danfoss,CCM 40,25,4.2,50,90,60,-40,25,1,28.5,25,1,28.5,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 버트 용접. 사이즈: 25 t=2.6 mm
DIN-EN SS 버트 용접. 사이즈: 25 t=2.6 mm
ANSI 솔더 ODF. 사이즈: 1 1/8?",CCM
Danfoss,CCMT 2,15,0.17,90,140,60,-40,15,0.5,16.7,15,0.5,16.7,DIN-EN 솔더 ODF. 사이즈: 15,"DIN-EN 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN SS 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN 솔더 ODF. 사이즈: 15
DIN-EN 솔더 ODF. 사이즈: 16
ANSI 솔더 ODF. 사이즈: 5/8?",CCMT
Danfoss,CCMT 4,15,0.45,90,140,60,-40,15,0.5,16.7,15,0.5,16.7,DIN-EN 솔더 ODF. 사이즈: 15,"DIN-EN 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN SS 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN 솔더 ODF. 사이즈: 15
DIN-EN 솔더 ODF. 사이즈: 16
ANSI 솔더 ODF. 사이즈: 5/8?",CCMT
Danfoss,CCMT 8,15,0.8,90,140,60,-40,15,0.5,16.7,15,0.5,16.7,DIN-EN 솔더 ODF. 사이즈: 15,"DIN-EN 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN SS 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN 솔더 ODF. 사이즈: 15
DIN-EN 솔더 ODF. 사이즈: 16
ANSI 솔더 ODF. 사이즈: 5/8?",CCMT
Danfoss,CCMT 16,25,1.6,90,140,60,-40,25,1,28.5,25,1,28.5,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 버트 용접. 사이즈: 25 t=2.6 mm
DIN-EN SS 버트 용접. 사이즈: 25 t=2.6 mm
ANSI 솔더 ODF. 사이즈: 1 1/8?",CCMT
Danfoss,CCMT 24,25,2.4,90,140,60,-40,25,1,28.5,25,1,28.5,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 버트 용접. 사이즈: 25 t=2.6 mm
DIN-EN SS 버트 용접. 사이즈: 25 t=2.6 mm
ANSI 솔더 ODF. 사이즈: 1 1/8?",CCMT
Danfoss,CCMT 30,25,3,90,140,60,-40,25,1,28.5,25,1,28.5,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 버트 용접. 사이즈: 25 t=2.6 mm
DIN-EN SS 버트 용접. 사이즈: 25 t=2.6 mm
ANSI 솔더 ODF. 사이즈: 1 1/8?",CCMT
