Brand,Model,minQ,maxQ,maxdP,maxP,maxT,minT,inlet_size_mm,inlet_size_inch,inlet_dia,outlet_size_mm,outlet_size_inch,outlet_dia,connect_recommand,connect_possible,Fig
Danfoss,CCM 10,1.172,64.99,50,90,60,-40,15,0.5,16.7,15,0.5,16.7,ANSI 솔더 ODF. 사이즈: 5/8?,"DIN-EN 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN SS 버트 용접. 사이즈: 15 t=2.3 mm
ANSI 솔더 ODF. 사이즈: 5/8?",CCM
Danfoss,CCM 20,2.892,137,50,90,60,-40,20,0.75,22.3,20,0.75,22.3,ANSI 솔더 ODF. 사이즈: 7/8?,"DIN-EN 버트 용접. 사이즈: 20 t=2.3 mm
DIN-EN SS 버트 용접. 사이즈: 20 t=2.3 mm
DIN-EN 솔더 ODF. 사이즈: 22
ANSI 솔더 ODF. 사이즈: 7/8?",CCM
Danfoss,CCM 30,8.609,202.5,50,90,60,-40,25,1,28.5,25,1,28.5,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 버트 용접. 사이즈: 25 t=2.6 mm
DIN-EN SS 버트 용접. 사이즈: 25 t=2.6 mm
ANSI 솔더 ODF. 사이즈: 1 1/8?",CCM
Danfoss,CCM 40,14.57,330.5,50,90,60,-40,25,1,28.5,25,1,28.5,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 버트 용접. 사이즈: 25 t=2.6 mm
DIN-EN SS 버트 용접. 사이즈: 25 t=2.6 mm
ANSI 솔더 ODF. 사이즈: 1 1/8?",CCM
Danfoss,CCMT 2,0.223,14.16,90,140,60,-40,15,0.5,16.7,15,0.5,16.7,DIN-EN 솔더 ODF. 사이즈: 15,"DIN-EN 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN SS 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN 솔더 ODF. 사이즈: 15
DIN-EN 솔더 ODF. 사이즈: 16
ANSI 솔더 ODF. 사이즈: 5/8?",CCMT
Danfoss,CCMT 4,0.59,37.18,90,140,60,-40,15,0.5,16.7,15,0.5,16.7,DIN-EN 솔더 ODF. 사이즈: 15,"DIN-EN 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN SS 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN 솔더 ODF. 사이즈: 15
DIN-EN 솔더 ODF. 사이즈: 16
ANSI 솔더 ODF. 사이즈: 5/8?",CCMT
Danfoss,CCMT 8,1.05,64.99,90,140,60,-40,15,0.5,16.7,15,0.5,16.7,DIN-EN 솔더 ODF. 사이즈: 15,"DIN-EN 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN SS 버트 용접. 사이즈: 15 t=2.3 mm
DIN-EN 솔더 ODF. 사이즈: 15
DIN-EN 솔더 ODF. 사이즈: 16
ANSI 솔더 ODF. 사이즈: 5/8?",CCMT
Danfoss,CCMT 16,6.353,131.6,90,140,60,-40,25,1,28.5,25,1,28.5,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 버트 용접. 사이즈: 25 t=2.6 mm
DIN-EN SS 버트 용접. 사이즈: 25 t=2.6 mm
ANSI 솔더 ODF. 사이즈: 1 1/8?",CCMT
Danfoss,CCMT 24,9.529,194.7,90,140,60,-40,25,1,28.5,25,1,28.5,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 버트 용접. 사이즈: 25 t=2.6 mm
DIN-EN SS 버트 용접. 사이즈: 25 t=2.6 mm
ANSI 솔더 ODF. 사이즈: 1 1/8?",CCMT
Danfoss,CCMT 30,11.91,240.7,90,140,60,-40,25,1,28.5,25,1,28.5,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 버트 용접. 사이즈: 25 t=2.6 mm
DIN-EN SS 버트 용접. 사이즈: 25 t=2.6 mm
ANSI 솔더 ODF. 사이즈: 1 1/8?",CCMT
Danfoss,CCMT 42,16.68,330.5,90,140,60,-40,25,1,28.5,25,1,28.5,ANSI 솔더 ODF. 사이즈: 1 1/8?,"DIN-EN 버트 용접. 사이즈: 25 t=2.6 mm
DIN-EN SS 버트 용접. 사이즈: 25 t=2.6 mm
ANSI 솔더 ODF. 사이즈: 1 1/8?",CCMT
Danfoss,ETS colibri 12C-12,4.861,61.76,40,50,95,-50,12,0.5,10,12,0.5,10,DIN-EN 솔더 ODF. 사이즈: 15,"DIN-EN 솔더 ODF. 사이즈: 12
ANSI 솔더 ODF. 사이즈: 1/2''",ETS colibri
Danfoss,ETS colibri 12C-16,3.253,67.68,40,50,95,-50,16,0.63,14,16,0.63,14,DIN-EN 솔더 ODF. 사이즈: 15,"DIN-EN 솔더 ODF. 사이즈: 16
ANSI 솔더 ODF. 사이즈: 5/8''",ETS colibri
Danfoss,ETS colibri 12C-22,3.421,73.37,40,50,95,-50,22,0.88,20,22,0.88,20,ANSI 솔더 ODF. 사이즈: 7/8?,"DIN-EN 솔더 ODF. 사이즈: 22
ANSI 솔더 ODF. 사이즈: 7/8''",ETS colibri
